"food_id","food_name","food_type","meal_type","quantity","expiry_date","provider_id","provider_name","city","provider_type","contact","claim_id","status"
13,"Fruits","Vegetarian","Snacks",33,"2025-03-22",115,"Wells-Davis","Floresville","Grocery Store","322-221-0619-89960",899,"Pending"
14,"Bread","Vegetarian","Dinner",19,"2025-03-30",621,"Chan Group","Sarahland","Supermarket","+1-119-104-8140-852",0,"Not Claimed"
15,"Salad","Vegetarian","Breakfast",3,"2025-03-22",74,"Johnston Ltd","Belindaville","Catering Service","5630753213",0,"Not Claimed"
16,"Dairy","Vegan","Snacks",6,"2025-03-26",862,"Obrien-Carr","East Tammy","Grocery Store","096-381-4881-4011",101,"Cancelled"
16,"Dairy","Vegan","Snacks",6,"2025-03-26",862,"Obrien-Carr","East Tammy","Grocery Store","096-381-4881-4011",388,"Completed"
16,"Dairy","Vegan","Snacks",6,"2025-03-26",862,"Obrien-Carr","East Tammy","Grocery Store","096-381-4881-4011",780,"Pending"
17,"Chicken","Non-Vegetarian","Snacks",42,"2025-03-22",417,"Glover, Wilson and Hudson","East Ashleyshire","Restaurant"," 315080-3138",881,"Pending"
18,"Soup","Vegan","Snacks",28,"2025-03-27",455,"Rios Group","Madisonfort","Catering Service","003-727-0894-163",819,"Pending"
19,"Rice","Vegan","Breakfast",13,"2025-03-30",419,"Hanson, Wilkerson and Lee","Port Peter","Supermarket","759-535-5451",166,"Completed"
20,"Pasta","Non-Vegetarian","Snacks",41,"2025-03-17",306,"Evans, Wright and Mitchell","North Keith","Catering Service","001-726-568-9224",0,"Not Claimed"
21,"Rice","Vegan","Dinner",38,"2025-03-26",277,"Ramos and Sons","West Aliciabury","Catering Service","5918690343",0,"Not Claimed"
22,"Chicken","Vegan","Snacks",46,"2025-03-21",892,"Flores-Wade","Russellfurt","Grocery Store","525-492-4716",263,"Completed"
22,"Chicken","Vegan","Snacks",46,"2025-03-21",892,"Flores-Wade","Russellfurt","Grocery Store","525-492-4716",525,"Completed"
23,"Salad","Vegan","Dinner",43,"2025-03-26",1,"Gonzales-Cochran","New Jessica","Supermarket","+1-600-220-0480",726,"Cancelled"
23,"Salad","Vegan","Dinner",43,"2025-03-26",1,"Gonzales-Cochran","New Jessica","Supermarket","+1-600-220-0480",776,"Cancelled"
24,"Bread","Non-Vegetarian","Lunch",20,"2025-03-30",897,"Stephens-Braun","Villastad","Catering Service","001-744-282-3182",0,"Not Claimed"
25,"Rice","Vegan","Breakfast",48,"2025-03-22",898,"Wilson Group","Medinatown","Restaurant","4943539272",295,"Pending"
25,"Rice","Vegan","Breakfast",48,"2025-03-22",898,"Wilson Group","Medinatown","Restaurant","4943539272",837,"Cancelled"
26,"Vegetables","Vegan","Dinner",34,"2025-03-27",95,"Orr Inc","Christinaland","Supermarket","+1-415-991-8966",0,"Not Claimed"
27,"Salad","Vegan","Breakfast",12,"2025-03-23",262,"Bradford-Martinez","New Carol","Supermarket","199-451-0254",0,"Not Claimed"
28,"Chicken","Vegan","Dinner",5,"2025-03-22",606,"Freeman, Decker and Johnson","North Nathan","Grocery Store","290-849-5446-412",764,"Completed"
29,"Bread","Vegan","Lunch",18,"2025-03-19",196,"Owens-Taylor","Bartonborough","Restaurant","+1-977-169-9906-1607",450,"Cancelled"
30,"Soup","Vegetarian","Dinner",4,"2025-03-16",616,"Moore-Flowers","Clarkberg","Restaurant"," 256326-8681-6129",697,"Completed"
30,"Soup","Vegetarian","Dinner",4,"2025-03-16",616,"Moore-Flowers","Clarkberg","Restaurant"," 256326-8681-6129",790,"Completed"
30,"Soup","Vegetarian","Dinner",4,"2025-03-16",616,"Moore-Flowers","Clarkberg","Restaurant"," 256326-8681-6129",863,"Pending"
31,"Bread","Non-Vegetarian","Snacks",42,"2025-03-22",535,"Hill PLC","Valdezborough","Grocery Store","+1-157-982-5008-743",825,"Pending"
32,"Rice","Non-Vegetarian","Lunch",27,"2025-03-21",611,"Williams-Manning","Port Kendraborough","Supermarket","001-050-248-0430-1092",0,"Not Claimed"
33,"Salad","Vegetarian","Breakfast",9,"2025-03-27",798,"Jordan LLC","North Amanda","Grocery Store","+1-073-137-5460",215,"Cancelled"
34,"Bread","Vegan","Breakfast",3,"2025-03-30",396,"Chase-Gross","Heatherside","Catering Service"," 041493-1650",755,"Completed"
35,"Rice","Vegan","Breakfast",6,"2025-03-23",108,"Williams-Cox","East Austin","Supermarket","082-114-2329",176,"Cancelled"
35,"Rice","Vegan","Breakfast",6,"2025-03-23",108,"Williams-Cox","East Austin","Supermarket","082-114-2329",647,"Pending"
35,"Rice","Vegan","Breakfast",6,"2025-03-23",108,"Williams-Cox","East Austin","Supermarket","082-114-2329",773,"Pending"
35,"Rice","Vegan","Breakfast",6,"2025-03-23",108,"Williams-Cox","East Austin","Supermarket","082-114-2329",774,"Cancelled"
36,"Rice","Vegan","Breakfast",35,"2025-03-20",1,"Gonzales-Cochran","New Jessica","Supermarket","+1-600-220-0480",715,"Pending"
37,"Fish","Non-Vegetarian","Dinner",19,"2025-03-20",389,"Hunt-Lee","Davidborough","Grocery Store","001-681-802-0601-91223",53,"Completed"
37,"Fish","Non-Vegetarian","Dinner",19,"2025-03-20",389,"Hunt-Lee","Davidborough","Grocery Store","001-681-802-0601-91223",939,"Pending"
38,"Bread","Vegetarian","Snacks",48,"2025-03-22",440,"Martinez-Graham","Elliottberg","Grocery Store","001-974-692-9262-419",0,"Not Claimed"
39,"Bread","Non-Vegetarian","Breakfast",48,"2025-03-22",758,"Todd Group","Port Patrick","Catering Service","236-722-8623",537,"Cancelled"
40,"Fruits","Vegetarian","Breakfast",12,"2025-03-27",965,"Oconnor Ltd","Port Bryce","Restaurant","+1-484-031-6824-10667",195,"Completed"
41,"Chicken","Vegetarian","Dinner",14,"2025-03-27",450,"Gibson and Sons","Grahamside","Catering Service"," 804688-7617",928,"Pending"
42,"Rice","Vegan","Lunch",50,"2025-03-16",179,"Lucas, Bush and Miller","North Michelle","Supermarket","3334774489",0,"Not Claimed"
43,"Pasta","Vegan","Lunch",44,"2025-03-22",29,"Andrews-Wiley","Patrickmouth","Grocery Store","+1-657-214-6013-08444",926,"Cancelled"
44,"Bread","Vegan","Snacks",39,"2025-03-22",290,"Webb, Phillips and Garcia","Bradleyport","Supermarket","001-401-943-3400",0,"Not Claimed"
45,"Fish","Non-Vegetarian","Lunch",17,"2025-03-24",874,"Long-Alexander","Priceland","Catering Service","328-638-0829-010",397,"Pending"
46,"Pasta","Vegetarian","Breakfast",25,"2025-03-28",576,"Townsend Inc","East Emilyburgh","Catering Service","001-820-820-2213-469",137,"Completed"
47,"Salad","Vegan","Snacks",3,"2025-03-17",420,"Snyder Ltd","Anthonyton","Catering Service","805-601-1161-98115",727,"Cancelled"
48,"Rice","Vegan","Breakfast",30,"2025-03-16",150,"Powers, Clark and Snyder","North Jamesberg","Grocery Store","531-341-5220-02539",0,"Not Claimed"
49,"Fish","Non-Vegetarian","Dinner",41,"2025-03-17",700,"Webster and Sons","Morriston","Supermarket","161-555-4218-17236",325,"Completed"
49,"Fish","Non-Vegetarian","Dinner",41,"2025-03-17",700,"Webster and Sons","Morriston","Supermarket","161-555-4218-17236",665,"Pending"
50,"Salad","Vegetarian","Dinner",28,"2025-03-23",514,"Roy-Hancock","Maxwellburgh","Supermarket"," 186046-9157",396,"Completed"
50,"Salad","Vegetarian","Dinner",28,"2025-03-23",514,"Roy-Hancock","Maxwellburgh","Supermarket"," 186046-9157",534,"Cancelled"
51,"Dairy","Vegetarian","Snacks",14,"2025-03-27",828,"Campbell LLC","Torresshire","Catering Service","408-792-0799",0,"Not Claimed"
52,"Vegetables","Non-Vegetarian","Snacks",23,"2025-03-29",460,"Gutierrez, Anthony and Shannon","Lake Justin","Grocery Store","2924416283",339,"Completed"
52,"Vegetables","Non-Vegetarian","Snacks",23,"2025-03-29",460,"Gutierrez, Anthony and Shannon","Lake Justin","Grocery Store","2924416283",554,"Completed"
53,"Fruits","Vegetarian","Lunch",13,"2025-03-16",174,"Gillespie, Foster and Boyd","North Carolfurt","Grocery Store","001-862-502-0221-7258",0,"Not Claimed"
54,"Soup","Non-Vegetarian","Snacks",15,"2025-03-17",368,"Smith-Villegas","North Lindseychester","Grocery Store","001-467-901-7553",0,"Not Claimed"
55,"Vegetables","Vegetarian","Breakfast",19,"2025-03-17",967,"Miller Inc","Coleburgh","Grocery Store","+1-926-386-9945-8729",648,"Completed"
56,"Vegetables","Non-Vegetarian","Lunch",9,"2025-03-23",125,"Brown-Grimes","Lake April","Supermarket","492-029-0285-3479",119,"Cancelled"
56,"Vegetables","Non-Vegetarian","Lunch",9,"2025-03-23",125,"Brown-Grimes","Lake April","Supermarket","492-029-0285-3479",678,"Pending"
57,"Chicken","Vegan","Dinner",23,"2025-03-17",977,"Anderson and Sons","South Jessicachester","Restaurant","759-596-1190-656",0,"Not Claimed"
58,"Pasta","Vegan","Lunch",39,"2025-03-28",270,"Harrison-Wilson","Cunninghambury","Catering Service","269-475-2515",27,"Completed"
58,"Pasta","Vegan","Lunch",39,"2025-03-28",270,"Harrison-Wilson","Cunninghambury","Catering Service","269-475-2515",39,"Pending"
58,"Pasta","Vegan","Lunch",39,"2025-03-28",270,"Harrison-Wilson","Cunninghambury","Catering Service","269-475-2515",576,"Completed"
59,"Vegetables","Vegan","Snacks",38,"2025-03-22",251,"Carter-Jones","East Terrancemouth","Restaurant","892-412-5796",530,"Completed"
59,"Vegetables","Vegan","Snacks",38,"2025-03-22",251,"Carter-Jones","East Terrancemouth","Restaurant","892-412-5796",569,"Pending"
60,"Pasta","Non-Vegetarian","Breakfast",49,"2025-03-28",153,"Wu LLC","Hawkinsmouth","Restaurant","350-191-5139-454",0,"Not Claimed"
61,"Fruits","Vegetarian","Lunch",33,"2025-03-22",243,"Davis-Hurley","West Catherine","Catering Service"," 172389-0239-87614",4,"Cancelled"
62,"Rice","Non-Vegetarian","Breakfast",21,"2025-03-21",520,"Jackson, Miller and Porter","Port Andre","Catering Service","257-230-5531",0,"Not Claimed"
63,"Salad","Vegetarian","Dinner",6,"2025-03-20",335,"Newman, Pearson and Mccarthy","North Gary","Grocery Store","905-549-7068",288,"Completed"
64,"Soup","Non-Vegetarian","Dinner",41,"2025-03-26",678,"Ruiz-Oneal","Lake Travis","Grocery Store"," 569363-0118",539,"Cancelled"
65,"Fruits","Non-Vegetarian","Breakfast",45,"2025-03-26",602,"Cole LLC","North Destiny","Grocery Store","001-078-379-8075-2377",77,"Completed"
65,"Fruits","Non-Vegetarian","Breakfast",45,"2025-03-26",602,"Cole LLC","North Destiny","Grocery Store","001-078-379-8075-2377",477,"Cancelled"
66,"Fish","Non-Vegetarian","Breakfast",6,"2025-03-22",577,"Taylor-Matthews","Lake Donna","Catering Service","864-725-3991-8612",852,"Cancelled"
67,"Rice","Vegan","Breakfast",50,"2025-03-24",455,"Rios Group","Madisonfort","Catering Service","003-727-0894-163",163,"Cancelled"
68,"Rice","Vegetarian","Snacks",15,"2025-03-25",113,"Anderson, Nicholson and Bruce","East Elizabethberg","Catering Service","+1-274-720-0033-1795",0,"Not Claimed"
69,"Bread","Vegetarian","Snacks",47,"2025-03-16",504,"Small Ltd","Gaineschester","Catering Service","1943075475",229,"Completed"
69,"Bread","Vegetarian","Snacks",47,"2025-03-16",504,"Small Ltd","Gaineschester","Catering Service","1943075475",243,"Cancelled"
70,"Rice","Vegetarian","Lunch",7,"2025-03-16",313,"Maldonado-Davis","Boylechester","Supermarket","9538261424",845,"Pending"
71,"Fish","Vegetarian","Lunch",45,"2025-03-19",750,"Barnes and Sons","Michaelton","Supermarket"," 547040-4732",851,"Completed"
72,"Dairy","Vegan","Dinner",11,"2025-03-24",293,"Ibarra and Sons","Joneshaven","Catering Service","855-385-3050-223",374,"Pending"
72,"Dairy","Vegan","Dinner",11,"2025-03-24",293,"Ibarra and Sons","Joneshaven","Catering Service","855-385-3050-223",607,"Cancelled"
73,"Soup","Vegan","Breakfast",48,"2025-03-19",485,"Baker-Mcdonald","East Andrea","Restaurant","933-503-6294-194",269,"Completed"
73,"Soup","Vegan","Breakfast",48,"2025-03-19",485,"Baker-Mcdonald","East Andrea","Restaurant","933-503-6294-194",513,"Cancelled"
74,"Chicken","Non-Vegetarian","Breakfast",12,"2025-03-29",387,"Barrera-Ward","West Juliabury","Grocery Store","958-242-0037",493,"Cancelled"
75,"Bread","Vegetarian","Dinner",35,"2025-03-24",389,"Hunt-Lee","Davidborough","Grocery Store","001-681-802-0601-91223",0,"Not Claimed"
76,"Pasta","Vegan","Lunch",40,"2025-03-16",905,"Ayers LLC","North Kennethshire","Restaurant"," 922213-3651-61067",0,"Not Claimed"
77,"Rice","Vegetarian","Lunch",4,"2025-03-19",890,"Simpson, Mcguire and Brown","Pereztown","Restaurant","274-464-1201-34627",0,"Not Claimed"
78,"Chicken","Non-Vegetarian","Dinner",1,"2025-03-23",913,"Crosby Group","Erikatown","Grocery Store","+1-307-053-5303-7456",653,"Pending"
79,"Rice","Vegan","Breakfast",25,"2025-03-19",100,"Greene-Garcia","Mooreview","Catering Service","155-846-6299",457,"Pending"
80,"Dairy","Vegetarian","Breakfast",36,"2025-03-29",434,"Kennedy-Johnston","Nicoletown","Restaurant"," 669695-7079-59486",184,"Cancelled"
81,"Fruits","Vegetarian","Snacks",33,"2025-03-18",848,"Fisher PLC","Fowlerbury","Supermarket","+1-823-181-5943-270",300,"Pending"
82,"Vegetables","Non-Vegetarian","Snacks",26,"2025-03-23",631,"Mueller, Savage and Hudson","North Kevinhaven","Supermarket"," 995505-1664",0,"Not Claimed"
83,"Rice","Vegetarian","Dinner",44,"2025-03-28",312,"Garcia-Hunter","North Ianbury","Restaurant","150-729-4411",702,"Cancelled"
84,"Rice","Vegan","Snacks",25,"2025-03-23",967,"Miller Inc","Coleburgh","Grocery Store","+1-926-386-9945-8729",369,"Completed"
84,"Rice","Vegan","Snacks",25,"2025-03-23",967,"Miller Inc","Coleburgh","Grocery Store","+1-926-386-9945-8729",502,"Completed"
84,"Rice","Vegan","Snacks",25,"2025-03-23",967,"Miller Inc","Coleburgh","Grocery Store","+1-926-386-9945-8729",736,"Completed"
85,"Pasta","Vegan","Lunch",28,"2025-03-16",554,"Jackson Ltd","Brandyberg","Restaurant","920-705-5617-44135",690,"Completed"
86,"Soup","Vegetarian","Dinner",13,"2025-03-30",288,"Carlson-Mathis","Maynardstad","Supermarket","518-257-3189-434",668,"Cancelled"
87,"Salad","Vegan","Breakfast",37,"2025-03-28",34,"Cooper, Smith and King","North Garybury","Grocery Store","+1-812-193-0704-61726",0,"Not Claimed"
88,"Vegetables","Non-Vegetarian","Dinner",22,"2025-03-21",491,"Wilkerson-Woods","Samanthabury","Supermarket","3597678978",413,"Completed"
89,"Chicken","Vegan","Lunch",3,"2025-03-27",844,"Gallagher-Brown","Olsenstad","Grocery Store","9339428554",105,"Completed"
89,"Chicken","Vegan","Lunch",3,"2025-03-27",844,"Gallagher-Brown","Olsenstad","Grocery Store","9339428554",943,"Pending"
90,"Bread","Vegan","Breakfast",29,"2025-03-23",477,"Alvarado LLC","East Jacobchester","Supermarket","5915828492",510,"Pending"
91,"Vegetables","Vegetarian","Breakfast",9,"2025-03-22",275,"Floyd, Jones and Alvarado","Brittanyport","Supermarket","106-317-0700-02344",0,"Not Claimed"
92,"Chicken","Vegetarian","Breakfast",42,"2025-03-20",752,"Butler-Richardson","East Heatherport","Grocery Store","+1-268-505-2616",265,"Cancelled"
92,"Chicken","Vegetarian","Breakfast",42,"2025-03-20",752,"Butler-Richardson","East Heatherport","Grocery Store","+1-268-505-2616",588,"Cancelled"
92,"Chicken","Vegetarian","Breakfast",42,"2025-03-20",752,"Butler-Richardson","East Heatherport","Grocery Store","+1-268-505-2616",612,"Completed"
92,"Chicken","Vegetarian","Breakfast",42,"2025-03-20",752,"Butler-Richardson","East Heatherport","Grocery Store","+1-268-505-2616",918,"Completed"
93,"Salad","Vegetarian","Lunch",49,"2025-03-20",264,"Holland and Sons","New Richard","Catering Service","184-401-2586-9344",0,"Not Claimed"
94,"Rice","Vegetarian","Lunch",35,"2025-03-16",722,"Young-Luna","Linchester","Restaurant","001-367-389-8038-71593",206,"Completed"
94,"Rice","Vegetarian","Lunch",35,"2025-03-16",722,"Young-Luna","Linchester","Restaurant","001-367-389-8038-71593",387,"Cancelled"
95,"Pasta","Vegan","Snacks",19,"2025-03-24",120,"Burns-Davis","New Lisa","Restaurant","+1-749-554-2482-64065",814,"Completed"
96,"Dairy","Non-Vegetarian","Breakfast",5,"2025-03-25",656,"Henry PLC","South Tiffanyfort","Restaurant","104-576-7855-2145",298,"Cancelled"
96,"Dairy","Non-Vegetarian","Breakfast",5,"2025-03-25",656,"Henry PLC","South Tiffanyfort","Restaurant","104-576-7855-2145",823,"Cancelled"
96,"Dairy","Non-Vegetarian","Breakfast",5,"2025-03-25",656,"Henry PLC","South Tiffanyfort","Restaurant","104-576-7855-2145",936,"Cancelled"
97,"Rice","Vegetarian","Dinner",44,"2025-03-21",346,"Phillips, Wolfe and Martin","Thomasville","Grocery Store","001-548-413-4962",200,"Completed"
97,"Rice","Vegetarian","Dinner",44,"2025-03-21",346,"Phillips, Wolfe and Martin","Thomasville","Grocery Store","001-548-413-4962",283,"Pending"
98,"Salad","Vegetarian","Breakfast",26,"2025-03-29",632,"Oliver, Ross and Johnson","Davidville","Supermarket","001-179-898-4092",659,"Cancelled"
99,"Bread","Non-Vegetarian","Dinner",8,"2025-03-28",162,"Moore, Perez and Young","Penabury","Restaurant","345-405-3372-9178",0,"Not Claimed"
100,"Vegetables","Vegan","Breakfast",22,"2025-03-18",647,"Hayes Inc","West Kara","Restaurant","423-402-5949-4533",802,"Completed"
101,"Dairy","Non-Vegetarian","Dinner",35,"2025-03-23",538,"Beck Inc","Jasonmouth","Restaurant","963-484-4775-327",99,"Completed"
101,"Dairy","Non-Vegetarian","Dinner",35,"2025-03-23",538,"Beck Inc","Jasonmouth","Restaurant","963-484-4775-327",100,"Pending"
101,"Dairy","Non-Vegetarian","Dinner",35,"2025-03-23",538,"Beck Inc","Jasonmouth","Restaurant","963-484-4775-327",426,"Completed"
102,"Rice","Vegetarian","Snacks",35,"2025-03-19",584,"Sanders-Hale","Moralesside","Supermarket","+1-625-938-4941-95891",0,"Not Claimed"
103,"Bread","Non-Vegetarian","Snacks",35,"2025-03-30",391,"Lambert Ltd","South Jerryside","Supermarket","351-542-5864-527",0,"Not Claimed"
104,"Dairy","Non-Vegetarian","Dinner",3,"2025-03-29",468,"Alexander-Mendoza","East Johnburgh","Supermarket","596-249-3643-159",786,"Pending"
105,"Rice","Non-Vegetarian","Breakfast",2,"2025-03-24",698,"Hawkins-Novak","Phillipsmouth","Grocery Store","961-144-7736-679",0,"Not Claimed"
106,"Rice","Vegetarian","Breakfast",31,"2025-03-19",253,"Gonzales-Keith","Sharonton","Catering Service","986-491-7149-656",486,"Cancelled"
107,"Salad","Vegetarian","Breakfast",29,"2025-03-25",464,"Barber Ltd","Port Jacob","Catering Service","001-045-508-9337-308",310,"Cancelled"
107,"Salad","Vegetarian","Breakfast",29,"2025-03-25",464,"Barber Ltd","Port Jacob","Catering Service","001-045-508-9337-308",359,"Cancelled"
107,"Salad","Vegetarian","Breakfast",29,"2025-03-25",464,"Barber Ltd","Port Jacob","Catering Service","001-045-508-9337-308",994,"Cancelled"
108,"Fruits","Non-Vegetarian","Snacks",22,"2025-03-25",835,"Smith-Paul","Thorntonbury","Catering Service","001-222-287-5923-26280",118,"Cancelled"
109,"Fruits","Vegan","Dinner",7,"2025-03-24",998,"Novak Group","Joshuastad","Grocery Store"," 903642-1969-3300",133,"Pending"
109,"Fruits","Vegan","Dinner",7,"2025-03-24",998,"Novak Group","Joshuastad","Grocery Store"," 903642-1969-3300",917,"Completed"
110,"Salad","Vegan","Dinner",49,"2025-03-17",354,"Rowe-Arias","South Alicia","Catering Service","090-649-4737",102,"Completed"
110,"Salad","Vegan","Dinner",49,"2025-03-17",354,"Rowe-Arias","South Alicia","Catering Service","090-649-4737",700,"Completed"
111,"Soup","Vegetarian","Snacks",13,"2025-03-17",904,"Smith-Morales","West Miaside","Grocery Store","481-162-2452-4959",196,"Completed"
112,"Chicken","Vegetarian","Lunch",32,"2025-03-25",308,"Doyle LLC","Brittanyside","Catering Service","0312154595",0,"Not Claimed"
113,"Soup","Vegetarian","Breakfast",14,"2025-03-16",623,"Williams Inc","Latoyaberg","Supermarket"," 031347-8261",642,"Pending"
114,"Vegetables","Vegan","Breakfast",28,"2025-03-27",906,"Wright LLC","West Kevin","Supermarket","001-515-383-6029-214",145,"Pending"
114,"Vegetables","Vegan","Breakfast",28,"2025-03-27",906,"Wright LLC","West Kevin","Supermarket","001-515-383-6029-214",410,"Cancelled"
115,"Pasta","Vegan","Lunch",8,"2025-03-26",963,"Johnson PLC","East Bernard","Supermarket"," 764089-8990-152",431,"Completed"
115,"Pasta","Vegan","Lunch",8,"2025-03-26",963,"Johnson PLC","East Bernard","Supermarket"," 764089-8990-152",536,"Cancelled"
115,"Pasta","Vegan","Lunch",8,"2025-03-26",963,"Johnson PLC","East Bernard","Supermarket"," 764089-8990-152",550,"Pending"
116,"Soup","Vegetarian","Lunch",32,"2025-03-23",570,"Jones, Calderon and Finley","Lake Vanessa","Supermarket","001-277-343-9322-828",321,"Completed"
116,"Soup","Vegetarian","Lunch",32,"2025-03-23",570,"Jones, Calderon and Finley","Lake Vanessa","Supermarket","001-277-343-9322-828",392,"Completed"
117,"Soup","Non-Vegetarian","Snacks",32,"2025-03-21",530,"Spencer, Eaton and Young","Johnstonhaven","Catering Service","808-707-2502-64682",0,"Not Claimed"
118,"Dairy","Vegan","Lunch",42,"2025-03-28",863,"Johnson-Mejia","Port Michael","Restaurant"," 145733-6977-4017",0,"Not Claimed"
119,"Bread","Non-Vegetarian","Breakfast",49,"2025-03-28",135,"Dyer Group","East Candace","Catering Service","906-900-1026",63,"Pending"
120,"Rice","Vegan","Lunch",30,"2025-03-18",785,"Crane LLC","Lindseybury","Catering Service","001-004-545-5901-1754",646,"Cancelled"
121,"Vegetables","Non-Vegetarian","Dinner",16,"2025-03-30",314,"Wright-Mcclure","Rodriguezfurt","Restaurant","+1-982-494-3609-2407",0,"Not Claimed"
122,"Fruits","Vegan","Snacks",7,"2025-03-20",846,"Miller Inc","South Thomasville","Supermarket","394-144-5269-2229",0,"Not Claimed"
123,"Soup","Vegetarian","Lunch",11,"2025-03-25",148,"Perry, Cabrera and Owens","Annahaven","Grocery Store","626-321-0040-18014",0,"Not Claimed"
124,"Salad","Vegetarian","Snacks",50,"2025-03-19",909,"Gibbs, Green and Krause","Sheilaburgh","Restaurant","001-228-747-8247-18530",0,"Not Claimed"
125,"Rice","Vegan","Dinner",21,"2025-03-17",982,"Martinez PLC","Westbury","Grocery Store","944-129-2371-8219",846,"Cancelled"
126,"Dairy","Vegan","Lunch",27,"2025-03-18",54,"Bennett, Phillips and Green","Lake Rachael","Supermarket","001-350-580-0382-854",822,"Pending"
127,"Rice","Vegan","Snacks",48,"2025-03-30",763,"Manning Ltd","Josephburgh","Restaurant","187-286-3552",0,"Not Claimed"
128,"Rice","Vegetarian","Snacks",39,"2025-03-22",235,"Gutierrez LLC","Gutierrezshire","Catering Service","+1-544-924-8841-926",444,"Cancelled"
128,"Rice","Vegetarian","Snacks",39,"2025-03-22",235,"Gutierrez LLC","Gutierrezshire","Catering Service","+1-544-924-8841-926",890,"Cancelled"
129,"Chicken","Vegan","Dinner",26,"2025-03-21",798,"Jordan LLC","North Amanda","Grocery Store","+1-073-137-5460",435,"Pending"
130,"Vegetables","Vegan","Breakfast",47,"2025-03-29",997,"Garza-Williams","East Rossside","Catering Service","001-924-441-3963-746",0,"Not Claimed"
131,"Fish","Vegan","Dinner",16,"2025-03-18",241,"Harper, Blake and Alexander","Devinmouth","Catering Service"," 144381-3923",801,"Completed"
132,"Soup","Non-Vegetarian","Snacks",20,"2025-03-19",840,"Farmer Ltd","Cisnerostown","Restaurant","924-147-5562-1759",742,"Pending"
133,"Rice","Vegan","Lunch",28,"2025-03-19",795,"Rollins-Mclaughlin","Brownberg","Catering Service","728-509-6340-7211",832,"Completed"
134,"Rice","Vegan","Dinner",1,"2025-03-16",39,"Fernandez-Bridges","Brittanyville","Supermarket","001-714-175-0277-076",509,"Cancelled"
135,"Rice","Vegan","Lunch",44,"2025-03-23",980,"Baker Group","Port Melissa","Restaurant","808-838-1022-168",235,"Cancelled"
136,"Bread","Vegan","Dinner",29,"2025-03-17",723,"Butler-Phillips","Jessicaland","Supermarket","+1-366-362-7376-557",92,"Pending"
137,"Pasta","Vegetarian","Snacks",29,"2025-03-19",87,"Young, Townsend and Mccarthy","West Adam","Grocery Store","001-286-579-2810-1913",260,"Pending"
138,"Soup","Non-Vegetarian","Snacks",24,"2025-03-18",558,"Beck Group","North Sharonberg","Catering Service","+1-153-394-0994",699,"Cancelled"
139,"Rice","Vegetarian","Dinner",3,"2025-03-20",446,"Nichols-Barnes","Port Richardshire","Catering Service","507-731-3315",0,"Not Claimed"
140,"Chicken","Vegan","Dinner",18,"2025-03-16",967,"Miller Inc","Coleburgh","Grocery Store","+1-926-386-9945-8729",0,"Not Claimed"
141,"Dairy","Non-Vegetarian","Lunch",33,"2025-03-29",702,"Moreno-Melton","Lake Mistyton","Supermarket","001-098-297-7862-776",40,"Pending"
141,"Dairy","Non-Vegetarian","Lunch",33,"2025-03-29",702,"Moreno-Melton","Lake Mistyton","Supermarket","001-098-297-7862-776",403,"Pending"
